Horas
4
8
12
4
6
8
4
2
5
6
8
5
5
3
5
5
6
7
8
6
6 
10
8
4
7 
5
6
7
5  
3
9 
9
4
5
6
3
5
3
2
6
3
2
7
5
6
0
4
7
6
5
5
5 
4 
9 
4 
6 
2
4
8 
8 
7 
8 
7
6
11
