"Carrera","Semestre","Transporte","Tipo","Combustible","Tiempo","Frecuencia","Distancia"
"Ing Sistemas","4to Semestre","microbus","Publico","gasolina","60","1","9"
"Ing Sistemas","4to Semestre","trufi","Publico","gasolina","35","1","5.5"
"Ing Industrial","7mo Semestre","pie","ninguno","ninguno","20","2","4"
"Ing Comercial","4to Semestre","taxi","Publico","gasolina","10","1","3"
"Ing Comercial","4to Semestre","taxi","Publico","gasolina","15","2","4"
"Psicología","4to Semestre","motocicleta","Privado","gasolina","25","3","6"
"Arquitectura","2do Semestre","auto","Privado","gasolina","20","3","6"
"Ing Financiera","4to Semestre","auto","Privado","gasolina","4","3","6"
"Fisioterapia y kinesiología ","4to Semestre","taxi","Publico ","gasolina ","20 ","2 ","6"
"Psicología ","3er Semestre","ninguno","ninguno","ninguno","0","0","0"
"Ingeniería comercial ","4to Semestre","taxi","Publico","gasolina","10","2","3"
