node_id,lat,lon
6,8023531.017827749,1118627.6829453604
7,8023381.437492844,1117930.6020029746
16,7976309.60486722,559057.4768381881
17,7977598.338728634,565486.1086045109
23,8175109.038477279,589336.6095216838
25,8174262.792314236,589057.1657495118
31,7551698.444847943,1049085.256839773
32,7551694.709750179,1049080.1624554298
33,7588063.028702767,1062850.4377656083
34,7587827.213717312,1062790.5502893373
35,7552762.588740131,1049556.6079200923
36,7552648.864311612,1049510.1624762793
39,8198238.2461343985,549735.8767844778
40,8204983.240853902,545177.6862017284
57,8171331.661182347,586863.7429175957
94,8025048.166354511,1118313.971671708
95,8025020.566231508,1118303.8955221446
102,8023266.093372358,1118475.995533383
103,8023299.452853798,1118447.236559101
104,8023897.661903891,1118590.2027173345
105,8023379.401293702,1118561.4054781932
106,8023900.811229154,1118615.1042664628
118,8024751.075444074,1118509.6300786878
119,8024905.997949036,1118456.6442384718
120,8024212.994427341,1118581.548479701
121,8024431.182230435,1118555.4484826543
122,8023924.765307133,1118610.854280491
123,8023988.448632335,1118605.3925112411
126,8025118.218429954,1117541.5124272937
127,8025138.750829528,1117540.3398108964
136,8023298.325488561,1118436.3130044122
137,8023262.854390245,1118156.1156644225
148,8024043.09803178,1116126.480301355
149,8024017.025079175,1116134.1937701614
150,8025610.702520463,1118693.950034514
152,8024704.27968917,1119355.8609910954
153,8024733.705350423,1119350.556720653
154,8025171.537667045,1119263.6326357273
155,8025195.334237224,1119251.961628677
156,8022917.669324265,1119176.520843302
157,8023672.782603895,1119389.2002125685
159,8022523.294242619,1118279.0031405166
160,8022447.700603473,1118917.4058625274
161,8022796.381575735,1119147.2812572124
162,8024501.661914397,1121172.7582271723
164,8019970.940977026,1117181.3721387458
165,8020252.274811751,1117230.034617505
166,8024065.463054053,1116106.0267126951
168,8023052.613984873,1115177.8440746707
174,8019857.243519876,1117105.6392641875
175,8019910.124278605,1116689.508765419
180,8024021.043044355,1113807.8666353102
181,8023394.20060044,1113769.518117317
182,8019846.337372992,1117192.20842004
183,8019770.732924479,1117180.2111956086
184,8019791.116495313,1117504.0373643956
185,8019891.176256669,1117887.4160941192
