node_id,lat,lon
0,8024138.127912724,1117571.5229571806
1,8024978.54830648,1117539.0747377672
2,8023876.578938406,1116977.3216375853
3,8023900.73779351,1117587.2958820774
4,8023276.429143108,1116958.036487643
5,8023481.523474355,1117396.4624685333
6,8023531.017827749,1118627.6829453604
7,8023381.437492844,1117930.6020029746
8,8023526.493102781,1116928.0047312558
9,8023588.285188551,1117172.7395022532
10,8023796.425046886,1118600.9286158753
11,8023567.299721168,1117618.646822953
12,8024754.195685221,1116881.7099041904
13,8024807.618458398,1117297.4164994308
14,8024158.54650232,1118034.7593054883
15,8024384.61209521,1118016.655766421
16,7976309.60486722,559057.4768381881
17,7977598.338728634,565486.1086045109
18,8175038.764285144,589310.2009267687
19,8175062.993596759,589349.9411367978
20,8174475.550686946,588802.2103239412
21,8174504.518539288,588827.912463061
22,8175125.163710122,589364.4264359254
23,8175109.038477279,589336.6095216838
24,8174912.579344647,589173.7998007098
25,8174262.792314236,589057.1657495118
26,8174483.420174407,588793.2990518244
27,8175099.368054282,592747.3627659384
28,8175129.38633442,592738.8041631418
31,7551698.444847943,1049085.256839773
32,7551694.709750179,1049080.1624554298
33,7588063.028702767,1062850.4377656083
34,7587827.213717312,1062790.5502893373
35,7552762.588740131,1049556.6079200923
36,7552648.864311612,1049510.1624762793
37,8186460.767504295,568603.7992553778
38,8187007.082947333,568136.7673113286
39,8198238.2461343985,549735.8767844778
40,8204983.240853902,545177.6862017284
41,8170498.629537971,588039.5515369318
42,8170511.350182864,588058.9177570414
43,8170499.215972453,587842.4014376118
44,8170523.843333449,587955.6868254086
45,8170503.838622634,587980.5957248816
46,8170643.57269175,587814.234345743
47,8170654.81946585,587858.585553878
48,8170736.265033884,587885.9588126225
49,8170704.418189462,587752.4643566508
50,8170564.120889052,587907.9081033642
51,8170553.946139781,587861.1498446314
52,8170684.587912139,587764.5373646724
53,8170527.381961781,587815.5623948184
54,8171132.038305324,587202.1566659673
55,8171354.338664208,586921.6401618711
56,8171338.757336445,586857.1128388669
57,8171331.661182347,586863.7429175957
58,8171328.685847396,586904.6012677328
59,8171144.413120504,587165.1997692718
